"AS_EM","AS_LC","AS_LX","AS_TE","AS_PA","AS_RL","AS_CS","AS_DM","AS_VD","AS_RD","AS_TR","CH_CM","CH_PA","CH_PT","CH_QT","ED_AE","ED_E1","ED_E2","ED_IO","ED_UF","ED_UM","ED_CI","EP_EJ","EP_EP","EP_JP","EP_LP","EP_IT","EP_QI","EP_PJ","EP_SG","EP_PS","EP_EG","EP_GE","IF_AT_FI","IF_QT","IF_CR","IF_CS","IF_DV","IF_EL_FI","IF_I1","IF_I2","IF_QR","IF_FO","IN_IF","IN_PF","IN_BC","IN_IN"
66.9,15.6,52.5,26.3,52.6,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,85.9,21.4,9.8,30.4,100,50.5348148148148,40.6,14.4222222222222,66.7,40.2,66.3,38.517037037037,84.5,67,83.7,93.4,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,27.3,89.6,82.9,67.2,14,82.1,73,92.3,45.5,61.4385185185185,13.9,9.1,49.8,44.422962962963
54.4,6.5,30.4,10,51.5,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,98.1,13.6,0,1.4,100,50.5348148148148,21.2,14.4222222222222,77.8,32.9,62.8,38.517037037037,10.9,57,62.2,74.2,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,25.2,31.5,71.2,79.2,1.2,71.1,26.4,80.2,52.9,61.4385185185185,6.5,3.3,33.3,44.422962962963
67.6,40.7,42.8,80.5,88.4,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,59.6,42.4,31,54.5,20,50.5348148148148,82.5,14.4222222222222,75,74.4,75.9,38.517037037037,99.2,96.3,94.7,51.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,56.7,86.9,98.9,41.1,18.1,96.5,41.5,91.5,55.2,61.4385185185185,39.9,60.8,30.4,44.422962962963
66.9,32.3,78,30.9,94.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,55.5,57.6,39,80.5,30,50.5348148148148,96,14.4222222222222,47.2,56.1,65.3,38.517037037037,87.9,91.6,93.2,31.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,53.7,56.8,52.1,45.8,33,100,0,89.2,71.4,61.4385185185185,21.8,47.9,37.2,44.422962962963
65.8,34.4,40.2,30.3,55.5,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,89.1,28.4,7.5,28.8,80,50.5348148148148,52.4,14.4222222222222,72.2,15.6,75.3,38.517037037037,66.6,39.3,100,77,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,25.6,100,71.8,61.1,3,91,98.6,93.9,38.5,61.4385185185185,19.2,9.4,23.9,44.422962962963
0,8.6,38.8,0.2,35.2,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,76.4,14.3,12.8,13.2,30,50.5348148148148,8.6,14.4222222222222,100,51.8,27.5,38.517037037037,32.8,26.5,68.8,77,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,30.3,60.4,57.5,73.9,1.5,91.2,92.4,71,55.4,61.4385185185185,1.2,3.4,26.1,44.422962962963
89.3,42.5,34,72.5,0,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,67,50.3,14.1,62.3,0,50.5348148148148,18.9,14.4222222222222,0,72.4,39.3,38.517037037037,61.3,11.8,0,15.3,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,26.2,15.8,72.6,82.8,0,80.4,100,0,56.7,61.4385185185185,20.9,0,11.2,44.422962962963
66.3,18.2,79.5,25.3,76.1,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,58.2,30.7,32.3,52.6,50,50.5348148148148,82.4,14.4222222222222,66.7,52.8,66.5,38.517037037037,94.7,99.3,95.5,91.2,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,54,69,64.9,0,13.3,96.8,37.4,84.1,56.3,61.4385185185185,3.3,100,41.3,44.422962962963
67,14.2,85.9,25.1,89.8,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,59.1,42.6,31.1,60.1,10,50.5348148148148,92.4,14.4222222222222,69.4,84.1,98,38.517037037037,87.5,91.5,92.2,93.4,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,56.4,83.6,95.4,50,10.9,97.6,73.7,93,50.8,61.4385185185185,21.2,94.4,38,44.422962962963
64.9,34.5,0,30.4,57.3,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,89.7,19.2,7.6,13.3,0,50.5348148148148,45.6,14.4222222222222,52.8,0,62.4,38.517037037037,52.5,44.6,70.1,28.5,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,18.7,85.7,73.4,38.1,1.4,86.6,66,95.5,34.6,61.4385185185185,6.5,7.5,35.9,44.422962962963
68.2,54.3,78.7,74.9,91,33.0385185185185,34.0933333333333,82.3459259259259,73.7244444444444,22.8074074074074,39.8481481481481,42.5,54.9,45.5,80.4,100,50.5348148148148,100,14.4222222222222,88.9,100,100,38.517037037037,100,100,98,76.4,74.3377777777778,62.0733333333333,62.1192592592593,45.3644444444444,56.5874074074074,52.2066666666667,85.6,69.3,100,76.1,100,99.6,84.5,94.1,100,61.4385185185185,100,69.6,43.9,44.422962962963
